#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
128,Angola,"103,131",,"1,917 ",,"101,155",,59,,"2,929",54,"1,499,795","42,599","35,207,086 ",Africa,"34118,36623",,,2
129,Barbados,"103,014",,560 ,,"102,024",,430,,"357,464","1,943","770,100","2,672,288","288,180 ",North America,35150,,,"1,492"
130,French Guiana,"94,073",,410 ,,"11,254",,"82,409",3,"297,318","1,296","651,257","2,058,302","316,405 ",South America,37720,,,"260,454"
131,DRC,"92,972",,"1,444 ",,"83,522",,"8,006",,971,15,"846,704","8,839","95,795,524 ",Africa,"1,03066,340113",,,84
132,Channel Islands,"92,884",,204 ,,"91,820",,860,,"523,202","1,149","1,252,808","7,056,881","177,530 ",Europe,28700,,,"4,844"
133,Senegal,"88,630",,"1,968 ",,"86,548",,114,,"4,992",111,"1,146,543","64,579","17,754,063 ",Africa,"2009,02115",,,6
134,Malawi,"88,057",,"2,682 ",,"84,973",,402,67,"4,346",132,"618,640","30,533","20,261,602 ",Africa,"2307,55533",,,20
135,Ivory Coast,"87,602",,827 ,,"86,720",,55,,"3,143",30,"1,637,138","58,734","27,873,601 ",Africa,"31833,70417",,,2
136,Suriname,"81,131",,"1,385 ",,N/A,N/A,N/A,,"135,521","2,314","239,280","399,693","598,659 ",South America,74323,,,"50,304"
137,French Polynesia,"76,706",,649 ,,N/A,N/A,N/A,7,"269,500","2,280",,,"284,623 ",Australia/Oceania,4439,,,"149,521"
138,New Caledonia,"74,210",,314 ,,"73,884",,12,9,"254,337","1,076","98,964","339,176","291,778 ",Australia/Oceania,49293,,,41
139,Eswatini,"73,436",,"1,422 ",,"71,973",,41,,"61,833","1,197","1,045,903","880,648","1,187,652 ",Africa,168351,,,35
140,Guyana,"71,404",,"1,281 ",,"70,077",,46,,"89,790","1,611","699,003","878,989","795,235 ",South America,116211,,,58
141,Belize,"68,926",,687 ,,"68,215",,24,6,"166,428","1,659","576,016","1,390,839","414,150 ",North America,66031,,,58
142,Fiji,"68,248",,878 ,,"66,307",,"1,063",,"74,890",963,"663,351","727,911","911,308 ",Australia/Oceania,"131,0381",,,"1,166"
143,Madagascar,"66,687",,"1,410 ",,"65,267",,10,,"2,274",48,"512,993","17,496","29,320,704 ",Africa,"44020,79557",,,0.3
144,Sudan,"63,449",,"4,964 ",,"57,511",,974,,"1,374",107,"562,941","12,187","46,192,913 ",Africa,"7289,30682",,,21
145,Mauritania,"63,110",,995 ,,"61,898",,217,,"12,803",202,"984,105","199,638","4,929,451 ",Africa,"784,9545",,,44
146,Cabo Verde,"62,397",,410  ,,"61,923",,64,23,"109,506",720,"401,622","704,840","569,806 ",Africa,"91,3901",,,112
147,Bhutan,"62,247",,21 ,,"61,564",,662,,"78,689",27,"2,303,734","2,912,245","791,051 ",Asia,"1337,6690",,,837
148,Syria,"57,337",,"3,163 ",,"54,158",,16,,"3,104",171,"146,269","7,918","18,473,871 ",Asia,"3225,841126",,,0.9
149,Burundi,"50,334",,38 ,,"50,104",,192,,"3,963",3,"345,742","27,220","12,701,600 ",Africa,"252334,25337",,,15
150,Gabon,"48,810",,306 ,,"48,353",,151,,"20,806",130,"1,618,431","689,881","2,345,957 ",Africa,"487,6671",,,64
151,Seychelles,"47,141",,169 ,,"46,446",,526,,"472,639","1,694",,,"99,740 ",Africa,2590,,,"5,274"
152,Andorra,"46,366",,155 ,,"46,087",,124,14,"597,901","1,999","249,838","3,221,721","77,548 ",Europe,25000,,,"1,599"
153,Papua New Guinea,"45,264",,668 ,,"43,982",,614,7,"4,849",72,"249,149","26,690","9,334,953 ",Australia/Oceania,"20613,97437",,,66
